algo,round_index,seed,ticks,killed,remaining,mean_survival_s,mean_compute_ops,decision_count,total_compute_ops
transformer_train,0,20260823,2160,9,11,14.03400000,45299.11206817,10797,489094512.99999994
transformer_train,1,20260824,2160,10,10,13.53200000,45298.83622626,9794,443656802.00000000
transformer_train,2,20260825,2160,9,11,13.90000000,45299.02849273,10529,476953471.00000000
transformer_train,3,20260826,2160,10,10,14.57050000,45299.76219358,11871,537753477.00000000
transformer_train,4,20260827,2160,10,10,15.09700000,45299.89554318,12924,585455850.00000000
transformer_train,5,20260828,2160,12,8,12.31750000,45299.74711552,7367,333723237.00000000
transformer_train,6,20260829,2160,9,11,14.71150000,45299.28974654,12152,550476969.00000000
transformer_train,7,20260830,2160,11,9,13.90200000,45300.01110584,10535,477235617.00000000
transformer_train,8,20260831,2160,10,10,14.50500000,45299.50647359,11740,531816206.00000000
transformer_train,9,20260832,2160,9,11,14.61950000,45299.42797460,11968,542143554.00000000
transformer_train,10,20260833,2160,11,9,13.56100000,45299.55637877,9853,446336529.00000006
transformer_train,11,20260834,2160,11,9,13.14000000,45299.54355787,9011,408194187.00000000
transformer_train,12,20260835,2160,12,8,13.83950000,45300.24791086,10411,471620881.00000000
transformer_train,13,20260836,2160,10,10,14.05250000,45299.19455468,10835,490816773.00000006
transformer_train,14,20260837,2160,10,10,13.99250000,45299.37816146,10715,485382837.00000000
transformer_train,15,20260838,2160,10,10,13.94550000,45299.48695980,10621,481125851.00000000
transformer_train,16,20260839,2160,9,11,14.05600000,45299.24185961,10841,491089081.00000000
transformer_train,17,20260840,2160,12,8,13.84150000,45299.57820451,10415,471795107.00000000
transformer_train,18,20260841,2160,9,11,14.86000000,45299.44951402,12449,563932847.00000000
transformer_train,19,20260842,2160,10,10,14.08050000,45299.47369388,10891,493356568.00000000
transformer_train,20,20260843,2160,10,10,14.02950000,45299.40300306,10789,488735259.00000000
transformer_train,21,20260844,2160,10,10,14.11400000,45299.32633692,10958,496390018.00000000
transformer_train,22,20260845,2160,9,11,15.81400000,45299.89566065,14357,650370602.00000000
transformer_train,23,20260846,2160,10,10,14.42400000,45299.49697703,11578,524477576.00000006
transformer_train,24,20260847,2160,10,10,14.55400000,45299.67629667,11838,536257568.00000000
transformer_train,25,20260848,2160,12,8,12.95350000,45299.66257669,8639,391343785.00000000
transformer_train,26,20260849,2160,10,10,14.36000000,45299.73991266,11450,518682022.00000000
transformer_train,27,20260850,2160,9,11,14.92950000,45299.55799174,12588,570230836.00000000
transformer_train,28,20260851,2160,10,10,14.07850000,45299.34297786,10887,493173946.99999994
transformer_train,29,20260852,2160,9,11,14.12250000,45299.21742300,10974,497113612.00000000
transformer_train,30,20260853,2160,9,11,15.40600000,45299.69433572,13541,613403161.00000000
transformer_train,31,20260854,2160,10,10,14.40250000,45299.53541396,11535,522530141.00000000
transformer_train,32,20260855,2160,9,11,14.84900000,45299.42938762,12427,562936009.00000000
transformer_train,33,20260856,2160,10,10,14.19950000,45299.45898104,11129,504137679.00000000
transformer_train,34,20260857,2160,10,10,14.12500000,45299.66129326,10980,497390281.00000006
transformer_train,35,20260858,2160,11,9,13.88050000,45299.92794510,10492,475286844.00000000
transformer_train,36,20260859,2160,10,10,15.18150000,45299.89498205,13093,593111525.00000000
transformer_train,37,20260860,2160,11,9,13.33250000,45299.54044274,9396,425634482.00000000
transformer_train,38,20260861,2160,11,9,13.35500000,45299.42410762,9441,427671863.00000000
transformer_train,39,20260862,2160,10,10,13.52250000,45299.17657289,9775,442799451.00000000
transformer_train,40,20260863,2160,10,10,14.07800000,45299.11868455,10886,493126206.00000000
transformer_train,41,20260864,2160,11,9,13.88150000,45299.62702497,10494,475374286.00000000
transformer_train,42,20260865,2160,9,11,14.48250000,45298.90593467,11694,529725406.00000000
transformer_train,43,20260866,2160,11,9,13.40600000,45299.46735827,9543,432292817.00000006
transformer_train,44,20260867,2160,11,9,13.03100000,45299.50995110,8793,398318591.00000000
transformer_train,45,20260868,2160,12,8,12.47200000,45299.62793121,7676,347719944.00000000
transformer_train,46,20260869,2160,11,9,13.55500000,45299.51214307,9841,445792499.00000000
transformer_train,47,20260870,2160,12,8,13.35150000,45299.77816640,9435,427403407.00000000
transformer_train,48,20260871,2160,11,9,13.72100000,45299.51548216,10173,460831971.00000000
transformer_train,49,20260872,2160,11,9,14.99150000,45300.20583609,12714,575946817.00000000
transformer_train,50,20260873,2160,9,11,14.20450000,45299.30131083,11138,504543618.00000000
