algo,round_index,seed,ticks,killed,remaining,mean_survival_s,mean_compute_ops,decision_count,total_compute_ops
transformer_train,0,20260823,2253,12,8,12.18350000,45302.02265932,6355,287894354.00000000
transformer_train,1,20260824,2260,11,9,12.77500000,45299.66582008,7481,338886800.00000000
transformer_train,2,20260825,2260,11,9,13.28150000,45299.52236873,8494,384774143.00000000
transformer_train,3,20260826,2260,12,8,14.57500000,45302.41580942,11082,502041372.00000000
transformer_train,4,20260827,2252,12,8,13.04900000,45300.86607363,8094,366665210.00000000
transformer_train,5,20260828,2260,11,9,13.90250000,45301.11873459,9736,441051692.00000000
transformer_train,6,20260829,2165,12,8,12.76450000,45301.36589223,8221,372422529.00000000
transformer_train,7,20260830,2232,12,8,14.20050000,45301.65738373,10557,478249597.00000000
transformer_train,8,20260831,2243,12,8,13.38250000,45300.82338956,8833,400142173.00000000
transformer_train,9,20260832,2185,12,8,12.36000000,45302.23110866,7252,328531780.00000000
transformer_train,10,20260833,2260,10,10,15.78150000,45302.22596902,13493,611262935.00000000
transformer_train,11,20260834,2260,12,8,12.33000000,45299.92930825,6592,298617134.00000000
transformer_train,12,20260835,2247,10,10,16.48600000,45302.66400107,15006,679811776.00000000
transformer_train,13,20260836,2260,11,9,13.34450000,45299.50626450,8620,390481744.00000000
transformer_train,14,20260837,2260,12,8,13.83700000,45301.50322715,9606,435166240.00000000
transformer_train,15,20260838,2260,12,8,13.86550000,45301.01459174,9663,437743704.00000000
transformer_train,16,20260839,2171,12,8,13.77900000,45302.79307979,10202,462179095.00000006
transformer_train,17,20260840,2201,9,11,15.58950000,45302.72326951,13580,615210982.00000000
transformer_train,18,20260841,2228,12,8,13.83750000,45302.21606002,9863,446815757.00000000
transformer_train,19,20260842,2260,12,8,14.15600000,45301.44221007,10244,464067973.99999994
transformer_train,20,20260843,2260,12,8,13.22950000,45301.98117030,8391,380128924.00000000
transformer_train,21,20260844,2260,11,9,13.94050000,45300.71911945,9812,444490655.99999994
transformer_train,22,20260845,2245,12,8,15.19950000,45302.03477632,12451,564055635.00000000
transformer_train,23,20260846,2260,11,9,14.69400000,45301.70430250,11319,512769991.00000000
transformer_train,24,20260847,2260,12,8,13.76800000,45300.40071821,9468,428904194.00000000
transformer_train,25,20260848,2260,12,8,13.40650000,45302.06518010,8745,396166560.00000000
transformer_train,26,20260849,2137,11,9,12.89100000,45300.66862136,8697,393979915.00000000
transformer_train,27,20260850,2241,11,9,14.03600000,45301.68232398,10155,460038584.00000000
transformer_train,28,20260851,2256,12,8,14.12100000,45301.72437782,10206,462349399.00000000
transformer_train,29,20260852,2142,12,8,12.08750000,45300.80243937,7051,319415958.00000000
transformer_train,30,20260853,2228,12,8,14.52950000,45302.04347826,11247,509512083.00000000
transformer_train,31,20260854,2230,11,9,13.66100000,45300.62266934,9493,430038811.00000000
transformer_train,32,20260855,2260,12,8,13.52300000,45301.88104255,8978,406720288.00000006
transformer_train,33,20260856,2227,12,8,14.60350000,45301.53126370,11403,516573361.00000000
transformer_train,34,20260857,2170,11,9,14.10150000,45302.57269210,10854,491714124.00000006
transformer_train,35,20260858,2201,8,12,16.30200000,45302.94914689,15004,679725449.00000000
transformer_train,36,20260859,2260,12,8,14.68600000,45302.65490092,11304,512101211.00000006
transformer_train,37,20260860,2260,11,9,15.43800000,45301.23494964,12807,580172916.00000000
transformer_train,38,20260861,2260,11,9,13.90200000,45300.77134052,9735,441003009.00000000
transformer_train,39,20260862,2260,11,9,13.41900000,45300.43870453,8769,397239547.00000000
transformer_train,40,20260863,2166,12,8,13.41250000,45301.71279840,9509,430773987.00000000
transformer_train,41,20260864,2260,12,8,14.57900000,45300.71208296,11090,502384896.99999994
transformer_train,42,20260865,2194,12,8,13.11650000,45301.41493155,8693,393805200.00000000
transformer_train,43,20260866,2242,12,8,11.74200000,45301.16223022,5560,251874462.00000000
transformer_train,44,20260867,2260,12,8,12.31450000,45301.41655235,6561,297222594.00000000
transformer_train,45,20260868,2260,9,11,15.46600000,45301.01314050,12861,582616330.00000000
transformer_train,46,20260869,2234,11,9,13.56200000,45300.88988449,9263,419622143.00000006
transformer_train,47,20260870,2260,12,8,14.04700000,45302.12337921,10026,454199089.00000000
transformer_train,48,20260871,2260,10,10,14.52700000,45301.82283321,10984,497595222.00000000
transformer_train,49,20260872,2260,12,8,15.38600000,45301.95371537,12704,575516020.00000000
transformer_train,50,20260873,2206,12,8,12.73850000,45301.56523403,7841,355209573.00000000
transformer_train,51,20260874,2260,12,8,13.61850000,45301.38357509,9169,415368386.00000000
transformer_train,52,20260875,2250,12,8,13.20850000,45301.24344525,8429,381844181.00000000
transformer_train,53,20260876,2260,9,11,14.92050000,45301.51248938,11770,533198801.99999994
transformer_train,54,20260877,2258,12,8,13.74250000,45301.58019718,9433,427329806.00000000
transformer_train,55,20260878,2220,12,8,14.08500000,45300.76597582,10422,472124583.00000000
transformer_train,56,20260879,2226,11,9,13.86950000,45300.31442366,9942,450375726.00000000
transformer_train,57,20260880,2169,12,8,12.09300000,45300.93704353,6846,310130215.00000000
transformer_train,58,20260881,2260,12,8,12.46100000,45301.38751094,6854,310495710.00000000
transformer_train,59,20260882,2199,12,8,13.48400000,45302.06178100,9388,425295756.00000006
transformer_train,60,20260883,2175,11,9,14.40200000,45302.47542707,11415,517127757.00000000
transformer_train,61,20260884,2260,12,8,14.70550000,45303.31023539,11343,513875448.00000000
transformer_train,62,20260885,2260,11,9,15.28150000,45301.45757964,12494,565996411.00000000
transformer_train,63,20260886,2260,8,12,17.95200000,45303.07968820,17832,807844517.00000000
transformer_train,64,20260887,2260,12,8,12.99200000,45301.76174836,7916,358608746.00000000
transformer_train,65,20260888,2243,11,9,15.03000000,45300.60435392,12127,549360429.00000000
transformer_train,66,20260889,2201,11,9,14.21050000,45301.35014782,10824,490341814.00000006
transformer_train,67,20260890,2260,12,8,13.09200000,45300.44147363,8116,367658383.00000000
transformer_train,68,20260891,2260,10,10,14.29100000,45300.20062785,10512,476195709.00000000
transformer_train,69,20260892,2258,12,8,12.74650000,45299.97460019,7441,337077111.00000000
transformer_train,70,20260893,2260,12,8,14.05700000,45301.90483775,10046,455102936.00000000
transformer_train,71,20260894,2175,12,8,12.57350000,45300.99471581,7759,351490418.00000000
transformer_train,72,20260895,2260,12,8,13.75850000,45300.95692666,9449,428048741.99999994
transformer_train,73,20260896,2194,12,8,13.30900000,45302.73661599,9078,411258243.00000000
transformer_train,74,20260897,2260,12,8,12.68000000,45301.65948985,7292,330339701.00000000
transformer_train,75,20260898,2172,11,9,14.61050000,45301.98068489,11856,537100283.00000000
transformer_train,76,20260899,2209,8,12,17.01800000,45303.06541656,16372,741701787.00000000
transformer_train,77,20260900,2260,12,8,12.55500000,45300.92842942,7042,319009138.00000000
transformer_train,78,20260901,2260,12,8,13.75200000,45302.70676134,9436,427476341.00000000
transformer_train,79,20260902,2233,6,14,17.63300000,45302.90981158,17408,788633054.00000000
transformer_train,80,20260903,2260,9,11,15.51400000,45301.41838389,12957,586970478.00000000
transformer_train,81,20260904,2260,12,8,14.37450000,45300.55135287,10681,483855189.00000000
transformer_train,82,20260905,2260,11,9,13.02250000,45298.94433300,7976,361304380.00000000
transformer_train,83,20260906,2190,12,8,13.13950000,45300.34693878,8771,397329343.00000000
transformer_train,84,20260907,2212,12,8,12.39250000,45300.30347838,7101,321677455.00000000
transformer_train,85,20260908,2243,10,10,14.48800000,45299.84821590,11042,500200924.00000000
transformer_train,86,20260909,2259,12,8,14.05100000,45302.44941247,10042,454927197.00000000
transformer_train,87,20260910,2231,11,9,13.39900000,45300.18323848,8961,405934942.00000000
transformer_train,88,20260911,2260,10,10,15.57750000,45300.39258693,13085,592755637.00000000
transformer_train,89,20260912,2260,12,8,13.16800000,45300.32462506,8268,374543084.00000000
transformer_train,90,20260913,2260,12,8,13.63900000,45301.70423453,9210,417228696.00000000
transformer_train,91,20260914,2199,12,8,13.13850000,45301.10037944,8697,393983670.00000000
transformer_train,92,20260915,2260,12,8,12.55050000,45299.41205744,7033,318590765.00000000
transformer_train,93,20260916,2260,9,11,15.23800000,45301.28948005,12405,561962496.00000000
transformer_train,94,20260917,2243,12,8,11.46300000,45299.55826992,4994,226225994.00000000
transformer_train,95,20260918,2260,12,8,13.32350000,45302.01445390,8579,388645982.00000000
transformer_train,96,20260919,2178,11,9,15.25150000,45302.43896104,13090,593008926.00000000
transformer_train,97,20260920,2218,12,8,13.18500000,45300.11704098,8638,391302411.00000000
transformer_train,98,20260921,2260,11,9,14.93150000,45300.82745464,11794,534277959.00000006
transformer_train,99,20260922,2260,11,9,14.48650000,45300.58455613,10904,493957574.00000006
transformer_train,100,20260923,2260,10,10,14.66350000,45300.63791419,11257,509949281.00000000
transformer_train,101,20260924,2251,12,8,14.56250000,45301.65405697,11129,504162108.00000006
transformer_train,102,20260925,2260,10,10,14.22000000,45302.30173578,10370,469784869.00000000
transformer_train,103,20260926,2257,12,8,12.38400000,45302.12849494,6724,304611512.00000000
transformer_train,104,20260927,2260,9,11,15.59000000,45301.58654360,13109,593858498.00000000
transformer_train,105,20260928,2255,9,11,15.85950000,45302.05245470,13688,620094494.00000000
transformer_train,106,20260929,2260,10,10,14.43850000,45301.27620986,10807,489570892.00000000
transformer_train,107,20260930,2260,12,8,13.50300000,45301.75542627,8938,404907090.00000000
transformer_train,108,20260931,2258,12,8,12.78250000,45301.74990017,7513,340352047.00000000
transformer_train,109,20260932,2260,10,10,16.28750000,45302.59076181,14505,657114079.00000000
transformer_train,110,20260933,2260,12,8,14.18200000,45301.68832556,10296,466426182.99999994
transformer_train,111,20260934,2260,11,9,14.12650000,45300.68892380,10184,461342216.00000000
transformer_train,112,20260935,2239,12,8,12.96250000,45300.25881620,8025,363534577.00000000
transformer_train,113,20260936,2260,12,8,14.10350000,45301.45172108,10139,459311419.00000000
transformer_train,114,20260937,2260,11,9,15.49950000,45302.72552204,12930,585764241.00000000
transformer_train,115,20260938,2260,8,12,16.43650000,45301.06810351,14801,670501109.00000000
transformer_train,116,20260939,2236,9,11,14.84050000,45300.24605999,11802,534633504.00000000
transformer_train,117,20260940,2260,12,8,12.79700000,45300.53680574,7526,340931840.00000000
transformer_train,118,20260941,2258,7,13,16.85900000,45302.34340080,15661,709480000.00000000
transformer_train,119,20260942,2260,11,9,15.07850000,45301.35704831,12088,547602804.00000000
transformer_train,120,20260943,2229,11,9,14.32450000,45301.87587736,10828,490528712.00000000
transformer_train,121,20260944,2221,12,8,12.80100000,45300.90364517,7846,355430890.00000000
transformer_train,122,20260945,2260,11,9,14.22950000,45301.80895091,10390,470685795.00000000
transformer_train,123,20260946,2260,12,8,14.78500000,45300.99087115,11502,521051997.00000000
transformer_train,124,20260947,2260,11,9,15.20200000,45301.54089988,12335,558794507.00000000
transformer_train,125,20260948,2260,9,11,15.44450000,45300.43392105,12818,580660962.00000000
transformer_train,126,20260949,2223,8,12,16.78100000,45303.17186114,15786,715155871.00000000
transformer_train,127,20260950,2226,11,9,12.89350000,45300.89274093,7990,361954133.00000000
transformer_train,128,20260951,2260,12,8,13.88450000,45301.55581899,9701,439470393.00000000
transformer_train,129,20260952,2260,12,8,14.19500000,45300.87521798,10322,467595634.00000000
transformer_train,130,20260953,2260,12,8,13.04400000,45301.67506234,8020,363319434.00000000
transformer_train,131,20260954,2260,12,8,13.60000000,45301.58486640,9132,413694073.00000000
transformer_train,132,20260955,2200,12,8,12.13100000,45301.71561283,6674,302343650.00000000
transformer_train,133,20260956,2249,12,8,12.61650000,45300.34606370,7253,328563410.00000000
transformer_train,134,20260957,2187,12,8,14.06850000,45301.03867455,10653,482591965.00000000
transformer_train,135,20260958,2260,12,8,12.17350000,45300.22089505,6279,284440087.00000000
transformer_train,136,20260959,2260,11,9,15.65000000,45303.85813620,13231,599415347.00000000
transformer_train,137,20260960,2260,11,9,14.64900000,45302.35871404,11229,508700186.00000000
transformer_train,138,20260961,2227,10,10,13.32250000,45300.46883132,8839,400410844.00000000
transformer_train,139,20260962,2260,10,10,15.10450000,45301.20232309,12139,549911295.00000000
transformer_train,140,20260963,2260,9,11,15.90750000,45301.27662980,13744,622620746.00000000
transformer_train,141,20260964,2260,12,8,13.75900000,45301.22074074,9450,428096536.00000000
transformer_train,142,20260965,2204,12,8,13.31500000,45301.55482797,9010,408167009.00000000
transformer_train,143,20260966,2260,12,8,13.96350000,45301.43300538,9859,446626828.00000006
transformer_train,144,20260967,2260,12,8,13.44550000,45302.09985266,8823,399700427.00000000
transformer_train,145,20260968,2260,12,8,13.51950000,45300.86957976,8971,406394101.00000000
transformer_train,146,20260969,2260,12,8,14.28900000,45301.18744053,10510,476115480.00000000
