algo,round_index,seed,ticks,killed,remaining,mean_survival_s,mean_compute_ops,decision_count,total_compute_ops
transformer_train,0,20260823,2400,8,12,16.39400000,45310.25625184,13596,616038244.00000000
transformer_train,1,20260824,2400,9,11,15.33850000,45309.78965697,11486,520428244.00000000
transformer_train,2,20260825,2400,10,10,15.06900000,45310.16642309,10948,496055702.00000000
transformer_train,3,20260826,2400,10,10,16.20850000,45311.21667801,13227,599331463.00000000
transformer_train,4,20260827,2400,10,10,16.66350000,45311.16481573,14137,640563937.00000000
transformer_train,5,20260828,2400,11,9,14.58800000,45310.83057975,9987,452519265.00000000
transformer_train,6,20260829,2400,9,11,16.62750000,45310.77673493,14064,637250764.00000000
transformer_train,7,20260830,2400,11,9,15.50100000,45311.39414205,11813,535263499.00000000
transformer_train,8,20260831,2400,12,8,15.72750000,45311.46237874,12267,555835709.00000000
transformer_train,9,20260832,2400,8,12,16.98400000,45310.69761776,14776,669510868.00000000
transformer_train,10,20260833,2400,10,10,15.65100000,45310.97473580,12112,548806526.00000000
transformer_train,11,20260834,2400,11,9,14.65000000,45311.13668282,10111,458140903.00000000
transformer_train,12,20260835,2400,12,8,15.49700000,45311.77469084,11806,534950812.00000000
transformer_train,13,20260836,2400,10,10,15.45250000,45310.43149808,11715,530811705.00000000
transformer_train,14,20260837,2400,12,8,14.48950000,45311.46001430,9791,443644505.00000006
transformer_train,15,20260838,2400,10,10,15.69150000,45310.71295005,12193,552473523.00000000
transformer_train,16,20260839,2400,10,10,15.22200000,45310.62040163,11254,509925722.00000000
transformer_train,17,20260840,2400,10,10,15.67450000,45310.65424788,12159,550932245.00000000
transformer_train,18,20260841,2400,10,10,16.04150000,45310.93996742,12893,584193949.00000000
transformer_train,19,20260842,2400,10,10,16.01300000,45310.97335619,12836,581611654.00000000
transformer_train,20,20260843,2400,9,11,16.22450000,45310.40715040,13258,600725378.00000000
transformer_train,21,20260844,2400,10,10,16.20050000,45310.89115131,13211,598602183.00000000
transformer_train,22,20260845,2400,8,12,18.40350000,45311.48152143,17615,798161747.00000000
transformer_train,23,20260846,2400,11,9,15.76450000,45311.32155592,12340,559141708.00000000
transformer_train,24,20260847,2400,10,10,16.14650000,45311.01679005,13103,593710253.00000000
transformer_train,25,20260848,2400,12,8,14.24650000,45311.73852767,9305,421625727.00000000
transformer_train,26,20260849,2400,10,10,15.97300000,45311.09093760,12756,577988276.00000000
transformer_train,27,20260850,2400,10,10,15.99450000,45311.15298070,12799,579937447.00000000
transformer_train,28,20260851,2400,12,8,14.49950000,45312.18683111,9811,444557865.00000000
transformer_train,29,20260852,2400,10,10,15.32650000,45310.60097706,11463,519395419.00000000
transformer_train,30,20260853,2400,8,12,17.71650000,45311.02709193,16241,735896391.00000000
transformer_train,31,20260854,2400,10,10,15.91800000,45310.94686067,12646,573002234.00000000
transformer_train,32,20260855,2400,8,12,17.21650000,45310.92441441,15241,690583799.00000000
transformer_train,33,20260856,2400,10,10,15.79500000,45310.86983871,12400,561854786.00000000
transformer_train,34,20260857,2400,10,10,15.71550000,45310.89641369,12241,554650683.00000000
transformer_train,35,20260858,2400,11,9,15.36700000,45311.54274578,11545,523121761.00000000
transformer_train,36,20260859,2400,10,10,16.77550000,45311.43645986,14361,650717539.00000000
transformer_train,37,20260860,2400,12,8,14.41950000,45311.86706041,9651,437304829.00000000
transformer_train,38,20260861,2400,10,10,15.54950000,45310.71315812,11909,539605283.00000000
transformer_train,39,20260862,2400,10,10,15.32300000,45310.41061453,11456,519076064.00000006
