algo,round_index,seed,ticks,killed,remaining,mean_survival_s,mean_compute_ops,decision_count,total_compute_ops
transformer_train,0,20260823,2400,10,10,14.77300000,45306.93916570,10356,469198662.00000000
transformer_train,1,20260824,2400,11,9,13.75700000,45306.62690691,8325,377177669.00000000
transformer_train,2,20260825,2400,11,9,13.42150000,45306.91403188,7654,346779120.00000000
transformer_train,3,20260826,2400,10,10,16.09650000,45307.23102361,13003,589129925.00000000
transformer_train,4,20260827,2400,9,11,16.79700000,45307.29743803,14403,652561005.00000000
transformer_train,5,20260828,2400,11,9,14.55550000,45307.15400121,9922,449537582.00000000
transformer_train,6,20260829,2400,9,11,16.96850000,45307.06984945,14746,668098052.00000000
transformer_train,7,20260830,2400,10,10,16.06550000,45307.41233290,12941,586323223.00000000
transformer_train,8,20260831,2400,11,9,16.04250000,45307.33266129,12896,584283362.00000000
transformer_train,9,20260832,2400,9,11,16.14300000,45307.07147766,13095,593296101.00000000
transformer_train,10,20260833,2400,11,9,15.89750000,45307.46152626,12606,571145860.00000000
transformer_train,11,20260834,2400,10,10,14.95950000,45306.89225464,10729,486097647.00000000
transformer_train,12,20260835,2400,11,9,15.91500000,45307.66877620,12641,572734241.00000000
transformer_train,13,20260836,2400,10,10,15.87200000,45307.27991079,12554,568787592.00000000
transformer_train,14,20260837,2400,10,10,15.68450000,45307.04483127,12179,551794499.00000000
transformer_train,15,20260838,2400,11,9,14.89900000,45307.25977943,10609,480664719.00000000
transformer_train,16,20260839,2400,8,12,16.78450000,45306.92905335,14377,651377719.00000000
transformer_train,17,20260840,2400,11,9,15.57450000,45307.38160535,11960,541876284.00000000
transformer_train,18,20260841,2400,11,9,16.00650000,45307.48362445,12824,581023170.00000000
transformer_train,19,20260842,2400,10,10,16.23950000,45307.24140266,13289,602087931.00000000
transformer_train,20,20260843,2400,10,10,15.25950000,45306.95568894,11329,513282501.00000000
transformer_train,21,20260844,2400,10,10,15.78600000,45307.21256663,12382,560993906.00000000
transformer_train,22,20260845,2400,9,11,17.94200000,45307.52045768,16693,756318439.00000000
transformer_train,23,20260846,2400,10,10,16.31750000,45307.25749349,13445,609156077.00000000
transformer_train,24,20260847,2400,10,10,15.92250000,45307.44267088,12655,573365687.00000000
transformer_train,25,20260848,2400,11,9,15.23800000,45307.26508372,11287,511383101.00000000
transformer_train,26,20260849,2400,10,10,16.03300000,45307.25054365,12876,583376158.00000000
transformer_train,27,20260850,2400,11,9,15.34900000,45307.55730298,11509,521444677.00000000
transformer_train,28,20260851,2400,11,9,15.19550000,45307.36814854,11202,507533138.00000000
transformer_train,29,20260852,2400,8,12,16.72000000,45307.25224593,14248,645537730.00000000
transformer_train,30,20260853,2400,10,10,16.77350000,45307.42251167,14357,650478665.00000000
transformer_train,31,20260854,2400,9,11,16.52450000,45307.61841536,13858,627872976.00000000
transformer_train,32,20260855,2400,10,10,16.07450000,45307.15464156,12959,587135417.00000000
transformer_train,33,20260856,2400,11,9,16.26950000,45307.39745318,13350,604853756.00000000
transformer_train,34,20260857,2400,10,10,15.95750000,45307.43033399,12725,576537051.00000000
transformer_train,35,20260858,2400,10,10,16.32950000,45307.35533447,13469,610244769.00000000
transformer_train,36,20260859,2400,10,10,16.84800000,45307.48504067,14506,657230378.00000000
transformer_train,37,20260860,2400,10,10,15.81650000,45307.40633288,12443,563760057.00000000
transformer_train,38,20260861,2400,10,10,15.87800000,45307.34633137,12566,569332114.00000000
transformer_train,39,20260862,2400,10,10,15.51000000,45307.10989011,11830,535983110.00000000
transformer_train,40,20260863,2400,10,10,15.87900000,45307.22851687,12568,569421248.00000000
transformer_train,41,20260864,2400,11,9,15.75550000,45307.33257588,12322,558276952.00000000
transformer_train,42,20260865,2400,10,10,15.96950000,45307.22119382,12749,577621763.00000000
transformer_train,43,20260866,2400,11,9,14.64000000,45307.03111684,10091,457193251.00000000
transformer_train,44,20260867,2400,11,9,14.61400000,45307.09761928,10039,454837953.00000000
transformer_train,45,20260868,2400,12,8,14.18600000,45307.32295296,9184,416102454.00000000
transformer_train,46,20260869,2400,10,10,15.73350000,45307.21145231,12277,556236635.00000000
transformer_train,47,20260870,2400,9,11,16.50650000,45307.17913471,13822,626235830.00000000
transformer_train,48,20260871,2400,11,9,15.16600000,45307.35376470,11143,504859843.00000000
transformer_train,49,20260872,2400,11,9,16.73200000,45307.70206655,14275,646767447.00000000
transformer_train,50,20260873,2400,10,10,15.01750000,45307.30926694,10845,491357769.00000006
transformer_train,51,20260874,2400,10,10,16.00050000,45307.31785185,12811,580432049.00000000
transformer_train,52,20260875,2400,11,9,15.04200000,45307.23350161,10895,493622309.00000000
transformer_train,53,20260876,2400,11,9,14.68300000,45307.17254594,10177,461091095.00000000
transformer_train,54,20260877,2400,9,11,16.36250000,45307.10373873,13534,613186342.00000000
transformer_train,55,20260878,2400,10,10,16.65700000,45307.37298216,14124,639921336.00000000
transformer_train,56,20260879,2400,12,8,14.15700000,45307.39798378,9126,413475314.00000000
transformer_train,57,20260880,2400,10,10,15.29450000,45306.78980612,11399,516452097.00000000
transformer_train,58,20260881,2400,10,10,14.86700000,45306.76270865,10544,477714506.00000000
transformer_train,59,20260882,2400,10,10,16.19250000,45307.33330807,13195,597830263.00000000
transformer_train,60,20260883,2400,11,9,15.60600000,45307.55776429,12023,544732767.00000000
transformer_train,61,20260884,2400,9,11,17.55800000,45307.37500785,15925,721519947.00000000
transformer_train,62,20260885,2400,11,9,15.39250000,45307.33615040,11596,525383870.00000000
transformer_train,63,20260886,2400,11,9,16.12250000,45307.78492647,13056,591538440.00000000
transformer_train,64,20260887,2400,10,10,15.76550000,45307.04910461,12341,559134293.00000000
transformer_train,65,20260888,2400,11,9,16.40400000,45307.46288274,13619,617042337.00000000
transformer_train,66,20260889,2400,11,9,15.13300000,45307.71012007,11077,501873505.00000000
transformer_train,67,20260890,2400,10,10,15.22400000,45306.90300231,11258,510065114.00000000
transformer_train,68,20260891,2400,10,10,16.40100000,45307.21672054,13612,616721834.00000000
transformer_train,69,20260892,2400,11,9,15.31450000,45307.32045455,11440,518315746.00000006
transformer_train,70,20260893,2400,10,10,15.84150000,45307.54398463,12493,566027147.00000000
transformer_train,71,20260894,2400,10,10,15.57800000,45306.80377737,11966,542141214.00000000
transformer_train,72,20260895,2400,9,11,16.78150000,45307.34358475,14372,651157142.00000000
transformer_train,73,20260896,2400,10,10,15.40300000,45307.16287879,11616,526288004.00000000
transformer_train,74,20260897,2400,10,10,15.41950000,45306.76066615,11649,527778455.00000006
transformer_train,75,20260898,2400,10,10,15.90950000,45307.33906089,12629,572186385.00000000
transformer_train,76,20260899,2400,11,9,15.75950000,45307.59075426,12330,558642594.00000000
transformer_train,77,20260900,2400,10,10,15.72100000,45307.02154750,12252,555101628.00000000
transformer_train,78,20260901,2400,10,10,16.16750000,45307.33929251,13145,595564975.00000000
transformer_train,79,20260902,2400,11,9,15.41800000,45307.45745686,11647,527695957.00000006
transformer_train,80,20260903,2400,10,10,15.81200000,45307.40534020,12434,563352278.00000000
transformer_train,81,20260904,2400,12,8,14.43800000,45307.58505367,9688,438939884.00000000
transformer_train,82,20260905,2400,9,11,15.08300000,45306.66724374,10975,497240673.00000000
transformer_train,83,20260906,2400,10,10,15.80250000,45307.04381796,12415,562486949.00000000
transformer_train,84,20260907,2400,10,10,15.61050000,45307.18568698,12031,545090751.00000000
transformer_train,85,20260908,2400,9,11,16.61350000,45307.40139641,14036,635934686.00000000
transformer_train,86,20260909,2400,10,10,16.33150000,45307.20752616,13473,610424007.00000000
transformer_train,87,20260910,2400,9,11,16.41050000,45307.57622891,13630,617542264.00000000
transformer_train,88,20260911,2400,10,10,15.57450000,45307.41240906,11959,541831345.00000000
transformer_train,89,20260912,2400,10,10,15.11400000,45306.99655735,11038,500098628.00000000
transformer_train,90,20260913,2400,11,9,14.73850000,45307.15202177,10288,466119980.00000000
transformer_train,91,20260914,2400,10,10,15.91150000,45307.16528141,12633,572365419.00000000
transformer_train,92,20260915,2400,10,10,15.39400000,45307.26366615,11598,525473644.00000000
transformer_train,93,20260916,2400,10,10,15.46750000,45307.08667518,11745,532131733.00000000
transformer_train,94,20260917,2400,9,11,15.02600000,45306.62821103,10861,492075289.00000000
transformer_train,95,20260918,2400,10,10,15.89050000,45307.07147963,12591,570461337.00000000
transformer_train,96,20260919,2400,11,9,16.27000000,45307.57613662,13351,604901449.00000000
transformer_train,97,20260920,2400,10,10,15.96050000,45307.20548268,12731,576806033.00000000
transformer_train,98,20260921,2400,10,10,16.60250000,45307.61405637,14015,634986211.00000000
transformer_train,99,20260922,2400,10,10,16.08750000,45307.45591067,12985,588317315.00000000
transformer_train,100,20260923,2400,11,9,14.93300000,45307.21878805,10677,483745174.99999994
transformer_train,101,20260924,2400,9,11,17.18100000,45307.14382704,15171,687354679.00000000
transformer_train,102,20260925,2400,10,10,15.69300000,45307.24467038,12196,552567156.00000000
transformer_train,103,20260926,2400,11,9,14.72100000,45307.35053155,10253,464536265.00000000
transformer_train,104,20260927,2400,11,9,14.96600000,45307.22265661,10743,486735493.00000000
transformer_train,105,20260928,2400,12,8,14.66050000,45307.65429784,10133,459102461.00000000
transformer_train,106,20260929,2400,11,9,14.66500000,45307.03017454,10141,459458593.00000000
transformer_train,107,20260930,2400,9,11,16.47650000,45307.51620404,13762,623522038.00000000
transformer_train,108,20260931,2400,10,10,15.26800000,45307.28979376,11346,514056509.99999994
transformer_train,109,20260932,2400,10,10,16.16800000,45307.37380192,13146,595610736.00000000
transformer_train,110,20260933,2400,9,11,17.50000000,45307.33006515,15809,716263581.00000000
transformer_train,111,20260934,2400,11,9,14.82750000,45307.09669406,10466,474184074.00000000
transformer_train,112,20260935,2400,11,9,15.00150000,45307.14388755,10814,489951454.00000006
transformer_train,113,20260936,2400,12,8,15.31250000,45307.96633733,11437,518187211.00000000
transformer_train,114,20260937,2400,11,9,15.89150000,45307.58726378,12594,570603754.00000000
transformer_train,115,20260938,2400,11,9,15.14750000,45307.13992437,11106,503181095.99999994
transformer_train,116,20260939,2400,8,12,17.16050000,45307.10073369,15129,685451127.00000000
transformer_train,117,20260940,2400,9,11,16.06400000,45306.77490918,12937,586133747.00000000
transformer_train,118,20260941,2400,11,9,15.91700000,45307.76014235,12645,572916627.00000000
transformer_train,119,20260942,2400,12,8,16.02900000,45307.55804196,12870,583108272.00000000
transformer_train,120,20260943,2400,11,9,14.91650000,45307.08831266,10644,482248648.00000000
transformer_train,121,20260944,2400,11,9,14.73200000,45307.33265207,10275,465532843.00000000
transformer_train,122,20260945,2400,12,8,14.95300000,45307.34558686,10718,485604130.00000000
transformer_train,123,20260946,2400,10,10,16.62300000,45307.41576551,14056,636841036.00000000
transformer_train,124,20260947,2400,11,9,15.11050000,45307.36294416,11032,499830828.00000000
transformer_train,125,20260948,2400,11,9,15.52150000,45307.36342163,11854,537073486.00000000
transformer_train,126,20260949,2400,11,9,16.14800000,45307.40024414,13107,593844095.00000000
transformer_train,127,20260950,2400,12,8,14.00400000,45307.26122449,8820,399610044.00000000
transformer_train,128,20260951,2400,11,9,14.94000000,45307.46581237,10691,484382117.00000000
transformer_train,129,20260952,2400,11,9,15.78100000,45307.40054958,12373,560588467.00000000
transformer_train,130,20260953,2400,9,11,15.81650000,45306.93264748,12442,563708856.00000000
transformer_train,131,20260954,2400,12,8,13.95050000,45307.95076323,8713,394768175.00000000
transformer_train,132,20260955,2400,10,10,15.07050000,45306.79344352,10951,496154695.00000006
transformer_train,133,20260956,2400,9,11,15.83350000,45306.94822058,12476,565249486.00000000
transformer_train,134,20260957,2400,11,9,15.84700000,45307.61655338,12505,566571745.00000000
transformer_train,135,20260958,2400,10,10,15.04250000,45306.53207894,10895,493614667.00000000
transformer_train,136,20260959,2400,10,10,16.79000000,45307.41667825,14390,651973726.00000000
transformer_train,137,20260960,2400,10,10,16.03700000,45307.35904998,12884,583740014.00000000
transformer_train,138,20260961,2400,10,10,14.89900000,45306.91233032,10608,480615726.00000000
transformer_train,139,20260962,2400,10,10,15.50850000,45307.47366196,11827,535851491.00000000
transformer_train,140,20260963,2400,12,8,14.62800000,45307.57369885,10068,456156651.99999994
transformer_train,141,20260964,2400,10,10,16.02100000,45307.48474946,12852,582291794.00000000
transformer_train,142,20260965,2400,10,10,15.73600000,45306.87298486,12282,556459014.00000000
transformer_train,143,20260966,2400,11,9,15.49950000,45307.47231160,11810,535081248.00000000
transformer_train,144,20260967,2400,10,10,15.71650000,45307.13199379,12243,554695217.00000000
transformer_train,145,20260968,2400,11,9,14.97550000,45307.33915629,10762,487597584.00000000
